net,length_um
net1,354.74
clk,162.78
net9,18.05
rst,15.05
net21,10.35
net18,9.89
net5,9.89
net8,9.89
net23,9.21
net25,9.18
net7,9.18
net27,8.99
net15,8.99
net19,8.99
net12,8.99
net4,8.99
flags_out[3],8.96
net14,8.72
net20,8.72
net11,8.72
net10,8.72
net22,8.53
net3,8.53
net16,8.5
net13,8.5
net24,8.04
net26,8.04
net28,8.04
net17,8.04
net6,8.04
net2,3.42
_00_,2.16
net29,1.82
